Exercise,Diet,Source Location,Clutch,Individual number,Body Length,Leg length (mm),Arm length (mm),Head Width (mm) ,Heart Mass (g),Liver Mass (g),Struggle (number of kicks),Righting time (s),Distance traveled in 1 min (cm),Spontaneous Acitivty - 95%quantile (cm),exhaustion score,Stamina score,Recovery score,ln RadioTelemetry distance
0,0,QLD,Innisfail 2,270,33.8,0.381656805,0.24260355,0.313609467,0.001005917,0.005236686,5,1,836,26.6696,4.173925625,0.365527951,-0.610709835,33.5
1,0,QLD,Innisfail 2,272,34.1,0.369501466,0.275659824,0.340175953,0.001407625,0.004222874,0,1,790,39.9333,3.92907676,-0.277439053,-0.27660653,
0,0,QLD,Innisfail 2,275,30.4,0.371710526,0.236842105,0.338815789,0.000625,0.003190789,4,1,450,23.981,5.012167453,0.39548312,-0.227881874,
1,0,QLD,Innisfail 2,280,26.1,0.32183908,0.218390805,0.329501916,0.002796935,0.014444444,1,13,396,20.3359,5.234098794,0.343507818,-0.201291923,
0,1,QLD,Townsville 1,345,35.9,0.353760446,0.236768802,0.356545961,0.001476323,0.006100279,3,3,478,25.5464,4.390242789,-0.237786688,0.254874186,37.5
1,0,QLD,Townsville 1,347,29.4,0.363945578,0.231292517,0.343537415,0.000646259,0.002482993,7,59,609,21.3056,4.592084946,0.273277022,-0.047755327,
0,0,QLD,Townsville 1,348,31.1,0.347266881,0.266881029,0.36977492,0.003215434,0.002347267,7,1,612,3.3256,5.175132266,-0.058829897,0.068556081,
0,0,QLD,Townsville 1,358,55.2,0.380434783,0.277173913,0.373188406,0.001811594,0.006938406,0,1,817,55.0908,4.278054044,-0.409685681,0.100637572,38.1
1,0,QLD,Townsville 1,367,31,0.374193548,0.283870968,0.34516129,0.000677419,0.004290323,0,1,633,20.1817,4.265914078,0.320611961,-0.219658084,
1,0,QLD,Townsville 1,370,22.9,0.35371179,0.231441048,0.327510917,0.000393013,0.001135371,4,86,476,25.7701,4.834295809,0.23080193,-0.392414829,
0,1,QLD,Townsville 1,375,36.3,0.355371901,0.26446281,0.338842975,0.000881543,0.003636364,4,1,735,39.54975,4.215233879,-0.131781123,-0.115651009,12.6
1,0,QLD,Townsville 1,376,27.5,0.356363636,0.236363636,0.327272727,0.000181818,0.000472727,1,1,509,24.5677,4.84103251,0.246057578,-0.26012545,
1,1,QLD,Townsville 1,379,29.1,0.378006873,0.261168385,0.347079038,0.000790378,0.002233677,9,1,630,31.50335,4.513054897,-0.113459465,0.016556624,
0,1,QLD,Townsville 2,302,33,0.378787879,0.254545455,0.351515152,0.000151515,0.000393939,0,1,450,25.1631,4.915005063,1.134022576,-0.83296783,
0,1,QLD,Townsville 2,328,27.8,0.35971223,0.251798561,0.31294964,0.000827338,0.002338129,2,1,612,24.1294,4.365516083,-0.439150164,-0.028001625,
1,0,QLD,Townsville 2,340,26.1,0.356321839,0.229885057,0.340996169,0.000574713,0.002222222,5,1,454,28.1969,5.074923784,0.588389849,-0.369937058,
1,0,WA,Kunanurra,103,53.1,0.382297552,0.06779661,0.357815443,0.001374765,0.007099812,4,1,1082,15.8403,3.549617387,-0.646106702,-0.084784199,20.2
1,0,WA,Kunanurra,105,26.1,0.375478927,0.272030651,0.329501916,0.000383142,0.000689655,5,1,511,8.3382,4.650812544,-0.401015816,-0.055753795,
1,0,WA,Kunanurra,108,32.4,0.361111111,0.274691358,0.367283951,0.000432099,0.000555556,3,1,649,15.5693,4.652912182,0.335252694,-0.084358154,
1,1,WA,Kunanurra,109,24,0.379166667,0.295833333,0.35,0.000416667,0.00075,0,3,570,21.54425,4.281930018,-0.066688045,-0.010826384,
0,0,WA,Kunanurra,110,49.3,0.356997972,0.239350913,0.346855984,0.000182556,0.000365112,1,1,853,59.821,3.703768067,-0.613232187,0.139519304,46.8
1,1,WA,Kunanurra,111,28.7,0.37630662,0.25087108,0.344947735,0.000487805,0.000766551,1,1,450,24.4133,4.688407785,0.300311826,-0.151155949,
0,1,WA,Kunanurra,112,32.9,0.382978723,0.258358663,0.334346505,0.001975684,0.006899696,6,3,637,13.912,4.195094465,-0.035422075,-0.214692452,
1,1,WA,Kunanurra,113,31.9,0.354231975,0.247648903,0.36677116,0.001442006,0.003573668,5,1,376,20.8523,5.63917284,-0.272937076,0.108614783,6.6
0,1,WA,Kunanurra,114,31.3,0.361022364,0.239616613,0.329073482,0.000479233,0.007252396,0,1,637,18.1358,4.703657133,-0.013660797,-0.089564157,
0,1,WA,Kunanurra,115,45.7,0.369803063,0.240700219,0.378555799,0.001422319,0.004967177,1,23,571,34.6526,4.774575351,-0.0181682,0.128681926,78.7
1,1,WA,Kunanurra,116,27.7,0.368231047,0.23465704,0.342960289,0.000541516,0.00234657,0,2,427,14.6542,5.205159868,0.331001559,-0.143950205,
0,0,WA,Kunanurra,117,26,0.353846154,0.265384615,0.357692308,0.000346154,0.000923077,2,1,577,17.13525,4.888090941,-0.060128864,-0.036023464,
0,0,WA,Kunanurra,119,34,0.367647059,0.226470588,0.367647059,0.000264706,0.000705882,1,2,541,13.9484,4.979144627,0.191545981,-0.099964238,
